DISTRICTCODE,Date,TINF,TREC,TDEC
13,14-04-2020,6,1,0
14,14-04-2020,1,0,1
15,14-04-2020,0,0,0
16,14-04-2020,0,0,0
17,14-04-2020,16,2,3
18,14-04-2020,1,1,0
19,14-04-2020,0,0,0
20,14-04-2020,0,0,0
21,14-04-2020,8,0,0
22,14-04-2020,48,12,0
23,14-04-2020,0,0,0
24,14-04-2020,0,0,0
25,14-04-2020,0,0,0
26,14-04-2020,2,0,1
27,14-04-2020,3,2,0
28,14-04-2020,11,3,0
29,14-04-2020,7,0,1
30,14-04-2020,0,0,0
31,14-04-2020,0,0,0
1,15-04-2020,14,0,1
2,15-04-2020,6,0,0
3,15-04-2020,19,0,1
4,15-04-2020,12,0,0
5,15-04-2020,71,35,2
6,15-04-2020,13,0,0
7,15-04-2020,0,0,0
8,15-04-2020,13,8,2
9,15-04-2020,0,0,0
10,15-04-2020,1,1,0
11,15-04-2020,11,8,0
12,15-04-2020,2,2,0
13,15-04-2020,6,1,0
14,15-04-2020,1,0,1
15,15-04-2020,0,0,0
16,15-04-2020,0,0,0
17,15-04-2020,17,2,3
18,15-04-2020,1,1,0
19,15-04-2020,0,0,0
20,15-04-2020,0,0,0
21,15-04-2020,8,0,0
22,15-04-2020,58,12,0
23,15-04-2020,0,0,0
24,15-04-2020,0,0,0
25,15-04-2020,0,0,0
26,15-04-2020,2,0,1
27,15-04-2020,3,2,0
28,15-04-2020,11,8,0
29,15-04-2020,10,0,1
30,15-04-2020,0,0,0
31,15-04-2020,0,0,0
1,16-04-2020,14,0,1
2,16-04-2020,6,0,0
3,16-04-2020,36,0,1
4,16-04-2020,12,0,0
5,16-04-2020,76,35,3
6,16-04-2020,13,0,0
7,16-04-2020,0,0,0
8,16-04-2020,13,8,2
9,16-04-2020,0,0,0
10,16-04-2020,1,1,0
11,16-04-2020,11,8,0
12,16-04-2020,2,2,0
13,16-04-2020,6,1,0
14,16-04-2020,2,0,1
15,16-04-2020,0,0,0
16,16-04-2020,0,0,0
17,16-04-2020,20,3,3
18,16-04-2020,1,1,0
19,16-04-2020,0,0,0
20,16-04-2020,0,0,0
21,16-04-2020,8,0,0
22,16-04-2020,61,12,0
23,16-04-2020,0,0,0
24,16-04-2020,0,0,0
25,16-04-2020,0,0,0
26,16-04-2020,2,1,1
27,16-04-2020,3,2,0
28,16-04-2020,11,8,0
29,16-04-2020,17,0,1
30,16-04-2020,0,0,0
31,16-04-2020,0,0,0
1,17-04-2020,14,0,1
2,17-04-2020,13,0,0
3,17-04-2020,41,0,1
