DISTRICTCODE,Date,ICU
13,13-07-2020,25
14,13-07-2020,8
15,13-07-2020,18
16,13-07-2020,3
17,13-07-2020,24
18,13-07-2020,3
19,13-07-2020,0
20,13-07-2020,7
21,13-07-2020,16
22,13-07-2020,12
23,13-07-2020,17
24,13-07-2020,1
25,13-07-2020,6
26,13-07-2020,13
27,13-07-2020,5
28,13-07-2020,2
29,13-07-2020,1
30,13-07-2020,0
1,14-07-2020,4
2,14-07-2020,23
3,14-07-2020,9
4,14-07-2020,0
5,14-07-2020,317
6,14-07-2020,11
7,14-07-2020,4
8,14-07-2020,3
9,14-07-2020,1
10,14-07-2020,0
11,14-07-2020,7
12,14-07-2020,5
13,14-07-2020,25
14,14-07-2020,8
15,14-07-2020,15
16,14-07-2020,3
17,14-07-2020,24
18,14-07-2020,3
19,14-07-2020,0
20,14-07-2020,7
21,14-07-2020,16
22,14-07-2020,12
23,14-07-2020,17
24,14-07-2020,1
25,14-07-2020,6
26,14-07-2020,9
27,14-07-2020,6
28,14-07-2020,3
29,14-07-2020,1
30,14-07-2020,0
1,15-07-2020,4
2,15-07-2020,24
3,15-07-2020,9
4,15-07-2020,0
5,15-07-2020,317
6,15-07-2020,11
7,15-07-2020,8
8,15-07-2020,3
9,15-07-2020,1
10,15-07-2020,0
11,15-07-2020,7
12,15-07-2020,5
13,15-07-2020,41
14,15-07-2020,8
15,15-07-2020,22
16,15-07-2020,3
17,15-07-2020,24
18,15-07-2020,3
19,15-07-2020,0
20,15-07-2020,11
21,15-07-2020,16
22,15-07-2020,12
23,15-07-2020,17
24,15-07-2020,1
25,15-07-2020,6
26,15-07-2020,30
27,15-07-2020,9
28,15-07-2020,4
29,15-07-2020,1
30,15-07-2020,0
1,16-07-2020,4
2,16-07-2020,16
3,16-07-2020,9
4,16-07-2020,0
5,16-07-2020,317
6,16-07-2020,11
7,16-07-2020,8
8,16-07-2020,3
9,16-07-2020,1
10,16-07-2020,3
11,16-07-2020,7
12,16-07-2020,4
13,16-07-2020,25
14,16-07-2020,8
15,16-07-2020,14
16,16-07-2020,3
17,16-07-2020,23
18,16-07-2020,1
19,16-07-2020,0
20,16-07-2020,9
21,16-07-2020,16
22,16-07-2020,12
23,16-07-2020,17
24,16-07-2020,1
25,16-07-2020,6
26,16-07-2020,12
27,16-07-2020,5
28,16-07-2020,3
29,16-07-2020,1
30,16-07-2020,0
1,17-07-2020,3
